Level;Search Algorithm;Heuristic;Beam/Limit Size;Solution Found;Solution Cost;Num of Expanded Nodes;Max Frontier Size;Num of Generated States

nivel1.txt;Breadth first search;N/A;N/A;YES;11.0;64;12;172
nivel1.txt;Uniform cost search;N/A;N/A;YES;11.0;67;12;183
nivel1.txt;Depth first search;N/A;N/A;YES;13.0;220;23;338
nivel1.txt;Iterative deepening search;N/A;13.0;YES;11.0;5314;18;11065
nivel1.txt;Greedy best first search;Distance to the exit;N/A;YES;11.0;17;29;66
nivel1.txt;Greedy best first search;Distance from closest enemy;N/A;YES;14.0;24;12;91
nivel1.txt;Greedy best first search;Distance from closest enemy and goal;N/A;YES;11.0;26;28;94
nivel1.txt;A* search;Distance to the exit;N/A;YES;11.0;17;29;66
nivel1.txt;A* search;Distance from closest enemy;N/A;YES;12.0;45;26;165
nivel1.txt;A* search;Distance from closest enemy and goal;N/A;YES;12.0;25;30;97
nivel1.txt;IDA* search;Distance to the exit;N/A;YES;11.0;17;8;66
nivel1.txt;IDA* search;Distance from closest enemy;N/A;YES;11.0;1351;20;5025
nivel1.txt;IDA* search;Distance from closest enemy and goal;N/A;YES;11.0;55;12;200
